,O,E,K,I,F,G,L,J,C,M,D,A,H,N,B
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100000,0.9090909090909091,0.7555555555555555,0.875,0.75,0.8181818181818182,0.8055555555555556,0.7105263157894737,0.7619047619047619,0.7741935483870968,0.8333333333333334,0.875,0.5714285714285714,0.6666666666666666,0.5,1.0
200000,0.8787878787878788,0.7111111111111111,0.875,0.625,0.8181818181818182,0.6666666666666666,0.6578947368421053,0.6666666666666666,0.7741935483870968,0.8333333333333334,0.875,0.5714285714285714,0.5,0.5,1.0
300000,0.8636363636363636,0.6888888888888889,0.875,0.5,0.8181818181818182,0.5833333333333334,0.631578947368421,0.5714285714285714,0.7419354838709677,0.75,0.875,0.42857142857142855,0.5,0.5,1.0
400000,0.8181818181818182,0.6666666666666666,0.5,0.5,0.8181818181818182,0.5555555555555556,0.5526315789473685,0.5714285714285714,0.7096774193548387,0.75,0.875,0.2857142857142857,0.5,0.25,1.0
500000,0.7878787878787878,0.6444444444444445,0.5,0.5,0.8181818181818182,0.5,0.5526315789473685,0.5714285714285714,0.6774193548387096,0.75,0.875,0.2857142857142857,0.5,0.25,1.0
600000,0.7727272727272727,0.6444444444444445,0.5,0.375,0.8181818181818182,0.5,0.5526315789473685,0.5238095238095238,0.6774193548387096,0.6666666666666666,0.75,0.14285714285714285,0.5,0.25,1.0
700000,0.7575757575757576,0.6444444444444445,0.5,0.375,0.8181818181818182,0.5,0.5526315789473685,0.5238095238095238,0.6451612903225806,0.6666666666666666,0.75,0.14285714285714285,0.5,0.25,1.0
800000,0.7272727272727273,0.6444444444444445,0.5,0.375,0.8181818181818182,0.4722222222222222,0.5263157894736842,0.5238095238095238,0.6129032258064516,0.6666666666666666,0.75,0.14285714285714285,0.5,0.25,0.0
900000,0.7121212121212122,0.6222222222222222,0.5,0.375,0.8181818181818182,0.4722222222222222,0.47368421052631576,0.5238095238095238,0.6129032258064516,0.6666666666666666,0.75,0.14285714285714285,0.5,0.25,0.0
1000000,0.6818181818181818,0.6,0.5,0.375,0.8181818181818182,0.4444444444444444,0.47368421052631576,0.5238095238095238,0.6129032258064516,0.6666666666666666,0.625,0.14285714285714285,0.3333333333333333,0.25,0.0
1100000,0.6060606060606061,0.6,0.5,0.375,0.8181818181818182,0.4444444444444444,0.47368421052631576,0.5238095238095238,0.6129032258064516,0.6666666666666666,0.625,0.14285714285714285,0.3333333333333333,0.25,0.0
1200000,0.5909090909090909,0.6,0.5,0.375,0.8181818181818182,0.4444444444444444,0.47368421052631576,0.5238095238095238,0.6129032258064516,0.6666666666666666,0.625,0.14285714285714285,0.3333333333333333,0.25,0.0
1300000,0.5909090909090909,0.6,0.5,0.375,0.8181818181818182,0.4444444444444444,0.47368421052631576,0.5238095238095238,0.6129032258064516,0.5833333333333334,0.625,0.14285714285714285,0.3333333333333333,0.25,0.0
1400000,0.5757575757575758,0.6,0.5,0.375,0.8181818181818182,0.4444444444444444,0.4473684210526316,0.5238095238095238,0.6129032258064516,0.5,0.625,0.14285714285714285,0.3333333333333333,0.25,0.0
1500000,0.5303030303030303,0.5777777777777777,0.5,0.375,0.8181818181818182,0.4444444444444444,0.4473684210526316,0.5238095238095238,0.5806451612903226,0.5,0.625,0.14285714285714285,0.3333333333333333,0.25,0.0
1600000,0.5303030303030303,0.5333333333333333,0.375,0.375,0.8181818181818182,0.4166666666666667,0.4473684210526316,0.47619047619047616,0.5806451612903226,0.5,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
1700000,0.5303030303030303,0.5333333333333333,0.25,0.375,0.8181818181818182,0.4166666666666667,0.4473684210526316,0.47619047619047616,0.5483870967741935,0.5,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
1800000,0.5303030303030303,0.5333333333333333,0.25,0.375,0.8181818181818182,0.4166666666666667,0.4473684210526316,0.47619047619047616,0.5483870967741935,0.5,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
1900000,0.5151515151515151,0.5333333333333333,0.25,0.375,0.8181818181818182,0.4166666666666667,0.42105263157894735,0.47619047619047616,0.5161290322580645,0.5,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
2000000,0.5151515151515151,0.5111111111111111,0.25,0.375,0.8181818181818182,0.3888888888888889,0.39473684210526316,0.47619047619047616,0.5161290322580645,0.5,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
2100000,0.5,0.5111111111111111,0.25,0.375,0.7272727272727273,0.3611111111111111,0.34210526315789475,0.47619047619047616,0.5161290322580645,0.5,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
2200000,0.45454545454545453,0.4888888888888889,0.25,0.375,0.7272727272727273,0.3611111111111111,0.34210526315789475,0.47619047619047616,0.41935483870967744,0.5,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
2300000,0.45454545454545453,0.4888888888888889,0.25,0.375,0.7272727272727273,0.3611111111111111,0.34210526315789475,0.47619047619047616,0.3870967741935484,0.5,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
2400000,0.45454545454545453,0.4888888888888889,0.25,0.375,0.6363636363636364,0.3333333333333333,0.2894736842105263,0.47619047619047616,0.3870967741935484,0.5,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
2500000,0.45454545454545453,0.4666666666666667,0.25,0.375,0.6363636363636364,0.3333333333333333,0.2631578947368421,0.47619047619047616,0.3870967741935484,0.4166666666666667,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
2600000,0.45454545454545453,0.4666666666666667,0.25,0.375,0.6363636363636364,0.3333333333333333,0.2631578947368421,0.47619047619047616,0.3870967741935484,0.4166666666666667,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
2700000,0.45454545454545453,0.4666666666666667,0.25,0.375,0.6363636363636364,0.3333333333333333,0.2631578947368421,0.47619047619047616,0.3548387096774194,0.4166666666666667,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
2800000,0.45454545454545453,0.4444444444444444,0.25,0.375,0.6363636363636364,0.3333333333333333,0.2631578947368421,0.47619047619047616,0.3548387096774194,0.4166666666666667,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
2900000,0.45454545454545453,0.4444444444444444,0.25,0.375,0.6363636363636364,0.3333333333333333,0.2631578947368421,0.47619047619047616,0.3225806451612903,0.4166666666666667,0.5,0.14285714285714285,0.3333333333333333,0.25,0.0
